,date,time,gpslat,gpslon,magfield,datetime,decimal_date,igrf_date,D(°),I(°),H(nT),F(nT),X(nT),Y(nT),Z(nT),SV_D(min/yr),SV_I(min/yr),SV_H(nT/yr),SV_F(nT/yr),SV_X(nT/yr),SV_Y(nT/yr),SV_Z(nT/yr)
0,2019-03-26,12:02:04,19.660553,-101.208384,40147.4,2019-03-26 12:02:04,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
1,2019-03-26,12:03:20,19.660705,-101.208489,40099.0,2019-03-26 12:03:20,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
2,2019-03-26,12:04:21,19.660856,-101.208593,40131.4,2019-03-26 12:04:21,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
3,2019-03-26,12:05:35,19.660801,-101.208005,40129.2,2019-03-26 12:05:35,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
4,2019-03-26,12:07:41,19.661008,-101.208697,40126.6,2019-03-26 12:07:41,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
5,2019-03-26,12:07:50,19.660963,-101.20812,40123.0,2019-03-26 12:07:50,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
6,2019-03-26,12:08:45,19.661159,-101.208801,40178.6,2019-03-26 12:08:45,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
7,2019-03-26,12:09:02,19.661118,-101.208211,40106.0,2019-03-26 12:09:02,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
8,2019-03-26,12:09:31,19.66131,-101.208905,40112.0,2019-03-26 12:09:31,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
9,2019-03-26,12:10:11,19.661462,-101.209009,40108.8,2019-03-26 12:10:11,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
10,2019-03-26,12:10:36,19.66128,-101.208305,40138.2,2019-03-26 12:10:36,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
11,2019-03-26,12:10:45,19.661613,-101.209113,40139.0,2019-03-26 12:10:45,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
12,2019-03-26,12:11:20,19.661765,-101.209217,40133.0,2019-03-26 12:11:20,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
13,2019-03-26,12:11:53,19.661916,-101.209321,40121.8,2019-03-26 12:11:53,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
14,2019-03-26,12:12:23,19.661423,-101.208421,40151.8,2019-03-26 12:12:23,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
15,2019-03-26,12:12:29,19.662067,-101.209425,40147.8,2019-03-26 12:12:29,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
16,2019-03-26,12:13:09,19.662219,-101.20953,40150.4,2019-03-26 12:13:09,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
17,2019-03-26,12:13:34,19.661566,-101.208516,40164.4,2019-03-26 12:13:34,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
18,2019-03-26,12:13:41,19.66237,-101.209634,40126.6,2019-03-26 12:13:41,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
19,2019-03-26,12:14:13,19.662521,-101.209738,40143.4,2019-03-26 12:14:13,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
20,2019-03-26,12:14:33,19.661711,-101.208598,40184.4,2019-03-26 12:14:33,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
21,2019-03-26,12:14:46,19.662673,-101.209842,40149.0,2019-03-26 12:14:46,2019.2301369863014,2019.2301369863014,5.343007466477728,46.986798666204336,27440.993206285017,40226.21910589497,27321.764349024903,2555.2496949872125,29413.27243623343,6.405249538166546,0.968096628010179,-53.706897001692575,-91.12121596763255,-48.224159060659375,-56.712167540234994,-74.4945387847532
