date,time,station,magfield,gpslat,gpslon
05/04/2019,120002,13,40136.2,19.662311,-101.209748
05/04/2019,120242,14,40149.2,19.662458,-101.209875
05/04/2019,120451,15,40127.4,19.662611,-101.209963
05/04/2019,120641,16,40125.6,19.662751,-101.210056
05/04/2019,120739,80,40028.2,19.663546,-101.210184
05/04/2019,120826,17,40137.8,19.66291,-101.21016
05/04/2019,121022,18,40131.0,19.663051,-101.210271
05/04/2019,121411,19,40144.2,19.663198,-101.210398
05/04/2019,121501,81,40143.4,19.663698,-101.210287
05/04/2019,122335,20,40010.0,19.663363,-101.210478
05/04/2019,122641,82,40083.4,19.66385,-101.21039
05/04/2019,123615,21,40187.8,19.663543,-101.210531
05/04/2019,124034,22,40078.2,19.663661,-101.210658
05/04/2019,125209,23,40112.6,19.663861,-101.210778
05/04/2019,125401,83,40085.2,19.664001,-101.210494
05/04/2019,125850,24,40095.8,19.663983,-101.210893
05/04/2019,130153,84,40086.6,19.664153,-101.210597
05/04/2019,130249,25,40081.0,19.664131,-101.210998
05/04/2019,130452,85,40113.6,19.664305,-101.2107
05/04/2019,130613,26,40087.2,19.664209,-101.211061
05/04/2019,130658,86,40107.0,19.664457,-101.210804
05/04/2019,130906,27,40089.4,19.664441,-101.211211
05/04/2019,131430,28,40082.8,19.664588,-101.211289
05/04/2019,132052,87,40091.4,19.664609,-101.210907
05/04/2019,132302,88,40067.4,19.664761,-101.21101
05/04/2019,132349,29,40117.0,19.664748,-101.211398
05/04/2019,132505,89,40071.0,19.664912,-101.211114
05/04/2019,132542,30,40083.0,19.664898,-101.211503
05/04/2019,132623,90,40081.8,19.665064,-101.211217
05/04/2019,132718,91,40088.6,19.665216,-101.21132
05/04/2019,132809,31,40089.4,19.665043,-101.211593
05/04/2019,132822,92,40097.0,19.665368,-101.211424
05/04/2019,132911,93,40114.0,19.66552,-101.211527
05/04/2019,132958,32,40098.4,19.665205,-101.211691
05/04/2019,133059,94,40122.2,19.665672,-101.21163
05/04/2019,133128,33,40098.2,19.665346,-101.211791
05/04/2019,133247,34,40102.4,19.665496,-101.2119
05/04/2019,133406,35,40111.4,19.665658,-101.211996
05/04/2019,133512,95,40125.8,19.665823,-101.211734
05/04/2019,133533,36,40119.0,19.66581,-101.212098
05/04/2019,133634,96,40135.2,19.665975,-101.211837
05/04/2019,133707,37,40118.6,19.665966,-101.212213
05/04/2019,133747,97,40143.0,19.666127,-101.211941
05/04/2019,133912,98,40136.6,19.666279,-101.212044
05/04/2019,134009,99,40133.4,19.666431,-101.212147
05/04/2019,134024,38,40126.6,19.66613,-101.212296
05/04/2019,134201,100,40130.4,19.666583,-101.212251
05/04/2019,134219,39,40127.4,19.666275,-101.212425
05/04/2019,134252,101,40134.6,19.666734,-101.212354
05/04/2019,134341,102,40132.6,19.666886,-101.212457
05/04/2019,134348,40,40138.0,19.666423,-101.212505
05/04/2019,134505,41,40130.0,19.66657,-101.21263
05/04/2019,134550,103,40105.0,19.667038,-101.212561
05/04/2019,134632,42,40131.4,19.666703,-101.212743
05/04/2019,134830,43,40142.0,19.666863,-101.21285
05/04/2019,135032,104,40106.8,19.66719,-101.212664
05/04/2019,135053,44,40071.2,19.667021,-101.212936
